PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Match_Status;Match_Confidence;Matched_Provider_Name;Matched_Reason
4250958;Montessori;DECATUR MONTESSORI SCHOOL;Decatur;GA;1429 Church St;30030;;;122;6 mo - 6 year;exact_match;99;Decatur Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
4259461;Church/Synagogue;NEW NORTHSIDE CHILD DEV CTR;Saint Louis;MO;1916 N;63113;(314)385-9502;http://www.northsidecommunityschool.org;;;not_found;45;North Side Community Schools Early Childhood Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
4262303;Independent Center;BARNERT TEMPLE PRE-SCHOOL;Franklin Lakes;NJ;747 NJ-208;07417;(201)848-1027;https://barnerttemple.org;;0 - 6 years;partial_match;99;Barnert Temple Preschool & Family Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
4275518;College/University Based;OSU CHILD DEV CENTER;Corvallis;OR;110 SW 26th St;97331;(541)737-8261;https://health.oregonstate.edu;60;3 year - 4 year 11 mo;expanded_match;84;Osu Child Development Center;Candidate matched one of the ranked expanded search-name variants.
4276756;Independent Center;WILLOW'S CHRISTIAN CCC;Iron Ridge;WI;4865 Moss;53035;(920)625-3943;http://www.willowschristianchildcarecenter.com;;;not_found;45;Willows Christian Child Care;Candidate did not meet the balanced city-plus-name acceptance threshold.
4277786;Independent Center;KEEPS EXTENDED EDUC PROGRAM;Mamaroneck;NY;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4284959;Independent Center;BUILDING BLOCKS CHILDCARE;Newburgh;NY;248 Lakeside Road;12550;(845)566-0070;http://buildingblockschildcare.net;91;;exact_match;99;Building Blocks Child Care Center;Candidate name closely matches the cleaned daycare name in the same city.
4292011;Independent Center;APPLESEED EARLY LEARNING CTR;Worcester;MA;15 Hill St;01605;(508)791-3100;http://www.appleseedelc.com;34;0 mo - 8 year;expanded_match;89;Appleseed Early Learning Center;Candidate matched one of the ranked expanded search-name variants.
4306002;Independent Center;SPOKANE CHILD DEVELOPMENT CENT;Spokane Vly;WA;3120 N;99216;(509)924-2850;http://www.spokanechilddevelopmentcenter.com;;;not_found;45;Spokane Child Development Center, LLC;Candidate did not meet the balanced city-plus-name acceptance threshold.
4308517;Independent Center;NEW MORNING;Bedford;NH;23 Back;03110;(603)669-3591;https://www.newmorningschools.com;90;;partial_match;99;New Morning After School Program @ Bedford Memorial ,opens link in a new tab ➞;City matched and the provider name partially overlaps with supporting address/contact evidence.
4314401;Independent Center;KIDS CONNECTION;Joliet;IL;1741 Essington;60435;(815)436-9799;https://victorycity.com;;;not_found;45;Kids Connection Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
4317300;Other Chains;MINNIELAND ACADEMY;Harrisonburg;VA;24859 Serpentine Place;20105;(703)327-0078;https://learningpathsacademy.com;195;Birth - 12 years 11 months;not_found;45;Minnieland Academy @ Stone Ridge (#28);Candidate did not meet the balanced city-plus-name acceptance threshold.
4321480;Church/Synagogue;ST PAUL'S LUTHERAN PRE-SCH;Waverly;IA;301 1st St NW;50677;(319)352-3850;https://www.stpaulswaverly.org;;4 year - 4 year 11 mo;renamed_likely;99;St Paul's Lutheran School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4323464;Independent Center;C B KING MEMORIAL SCHOOL;Mc Gehee;AR;1402 1st;71654;(870)222-6211;http://www.cbkingmemorial.com;;;not_found;45;C B King Memorial School;Candidate did not meet the balanced city-plus-name acceptance threshold.
4342757;Church/Synagogue;CHILDREN'S ARK LEARNING CTR;Clarkston;MI;8585 Dixie;48348;(248)625-2270;https://www.thechildrensark.com;123;6 w - 4 year 11 mo;partial_match;99;Children's Ark Development Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
4348531;Independent Center;PRECIOUS TREASURES;Valdosta;GA;409 Connell;31602;(229)244-4672;https://www.precioustreasuresdaycare.com;121;0 mo - 4 year 11 mo;partial_match;99;Precious Treasures Christian Learning Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
4374499;Independent Center;SCHOLARS PRE-SCH/KDGN;San Jose;CA;3703 SILVER CREEK ROAD;95121;;;167;;not_found;45;SCHOLARS ACADEMY;Candidate did not meet the balanced city-plus-name acceptance threshold.
4422888;Independent Center;HAPPY VALLEY PRE-SCHOOL;Happy Valley;OR;13698 SE 147th Ave;97015;;;156;6 w - 12 year;partial_match;99;Happy Valley Child's Kingdom;City matched and the provider name partially overlaps with supporting address/contact evidence.
4426119;YMCA/YWCA;WALKER KIDS CLUB -ASHLAND YMCA;Ashland;OR;540 YMCA Way;97520;;;50;5 year - 11 year;partial_match;99;Ashland Family YMCA Kids Club;City matched and the provider name partially overlaps with supporting address/contact evidence.
4430562;Independent Center;APPLETREE LEARNING CENTER;Casper;WY;1147 S Walnut St;82601;(307)237-1952;http://www.appletree307-earlyed.com;44;0 mo - 4 year 11 mo;exact_match;92;Appletree Learning Center;Candidate name closely matches the cleaned daycare name in the same city.
4469135;Independent Center;KIDS & COMPANY DC-NEWKIRK;Wilmington;NC;2619 Newkirk;28412;(910)799-7195;http://www.kidconc.com;;;not_found;45;Kids & Company;Candidate did not meet the balanced city-plus-name acceptance threshold.
4480141;Church/Synagogue;SHALOM PRE-SCHOOL;Naples;FL;4630 Pine Ridge Rd;34116;(239)455-3227;http://www.templeshalompreschoolnaples.org;229;;exact_match;92;Shalom Preschool;Candidate name closely matches the cleaned daycare name in the same city.
4484472;Independent Center;COURTHOUSE PRE-SCH & KDGN;Virginia Bch;VA;2708 Princess;23456;(757)689-0315;http://www.courthousechristian.com;;;not_found;45;Courthouse Christian Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
4487802;Church/Synagogue;CHAPARRAL CHRISTIAN SCHOOL;Scottsdale;AZ;6451 E Shea Blvd;85254;(480)991-6440;http://chaparralschools.org;145;24 mo - 6 year;exact_match;99;Chaparral Christian School;Candidate name closely matches the cleaned daycare name in the same city.
4490847;Other Chains;NEXT GENERATION CHILDREN'S CTR;Beverly;MA;232 Essex St;01915;(978)867-0102;https://www.cadence-education.com;209;6 w - 4 year 11 mo;exact_match;99;Next Generation Children's Center;Candidate name closely matches the cleaned daycare name in the same city.
4491293;Independent Center;LEARN & PLAY DAY CARE CENTER;Roxbury;MA;1073 Tremont;02120;(617)442-1162;http://learnandplaycenterinc.com;;;not_found;45;Learn & Play Center Inc.;Candidate did not meet the balanced city-plus-name acceptance threshold.
4495859;Montessori;SUNSET MONTESSORI CMTY SCHOOL;Las Vegas;NV;3525 E;89120;(702)433-6044;http://www.sunsetmontessoricommunity.com;;;renamed_likely;95;Montessori Visions Academy - Sunset;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4499013;Church/Synagogue;CORNERSTONE CHRISTIAN PRE-SCH;Hamilton;OH;7600 Princeton;45011;(513)874-7870;http://www.preschool.cornerstonechurch.org;;;not_found;45;Cornerstone Christian Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
4504785;Family Day Residences;LITTLE NOISES CHILD CARE CTR;Moodus;CT;41 WF PALMER ROAD, MOODUS, CT, 06469;06469;(860)873-9848;https://www.housedems.ct.gov;65;6 weeks - 14 years;exact_match;99;LITTLE NOISES DAY CARE CENTER;Candidate name closely matches the cleaned daycare name in the same city.
4766854;Church/Synagogue;ATONEMENT CHRISTIAN DAY SCHOOL;Barrington;IL;909 E MAIN ST, BARRINGTON, IL, 60010;60010;(847)382-6360;http://www.atonementchristiandayschool.com;142;;exact_match;99;ATONEMENT CHRISTIAN DAY SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
4771419;Church/Synagogue;LINDENWOOD CHRISTIAN CCC;Memphis;TN;2400 Union Ave;38112;(901)458-8687;http://www.lindenwoodchildcare.com;396;6 w - 4 year 11 mo;renamed_likely;95;Lindenwood Christian Childcare Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4772425;Church/Synagogue;FIRST BAPTIST KIDS CARE;Blountville;TN;3358 TN-126;37617;(423)323-1343;http://fbcbtn.com;;;not_found;45;First Baptist Kid's Care;Candidate did not meet the balanced city-plus-name acceptance threshold.
4778259;YMCA/YWCA;SCHLOSSMAN FAMILY YMCA WEST;Moorhead;MN;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4779590;Church/Synagogue;OGLETHORPE PRESBY PRE-SCHOOL;Atlanta;GA;3016 Lanier;30319;(404)233-5479;https://oppbrookhaven.org;;;not_found;45;Oglethorpe Presbyterian Preschool & Kindergarten;Candidate did not meet the balanced city-plus-name acceptance threshold.
4787705;Independent Center;BANNERS CHILD CARE;Rochester;NY;3510 Winton Place;;(585)427-0700;;228;;not_found;45;Banners Childcare;Candidate did not meet the balanced city-plus-name acceptance threshold.
4788357;;FIRST PRESBYTERIAN CHILD DEV;Midland;TX;800 W;79701;(432)683-0851;https://fpcmid.org;200;15 months - 6 years;renamed_likely;99;First Presbyterian Church Early Childhood Education Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4789519;Church/Synagogue;MOUNTAIN TOP PRE-SCHOOL & KDGN;Warren;NJ;104 Mt;07059;17323568777107;http://www.mountaintopschool.org;;0 - 13 years;renamed_likely;99;The Orchard Academy at Mountain Top School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4790831;Independent Center;NEW FRIENDS CHLD CARE PRE-SCH;Edison;NJ;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4792853;Independent Center;ACCESS GROUP INC;Little Rock;AR;1500 N Mississippi St;72227;;;214;5 year - 12 year;exact_match;99;Access Group;Candidate name closely matches the cleaned daycare name in the same city.
4844250;Church/Synagogue;SOUTHERN HILLS CHILD DEV CTR;Edmond;OK;3207 S. BOULEVARD EDMOND, OK 73013;73013;(405)341-0100;http://www.shcdc.net;120;;expanded_match;99;SOUTHERN HILLS CHILD DEVELOPMENT CENTER;Candidate matched one of the ranked expanded search-name variants.
4845400;Other Chains;SUNRISE PRE-SCHOOL #116;Gilbert;AZ;900 S Cooper Rd;85233;(480)813-7268;https://www.sunrisepreschools.com/locations/rural-ray;202;;exact_match;99;SUNRISE PRESCHOOL 116;Candidate name closely matches the cleaned daycare name in the same city.
4849781;Other Chains;NEXT GENERATION CHILDREN'S CTR;Marlborough;MA;201 Cedar Hill St;01752;(978)824-6268;https://www.cadence-education.com;193;6 w - 4 year 11 mo;exact_match;99;Next Generation Children's Center;Candidate name closely matches the cleaned daycare name in the same city.
4857130;Church/Synagogue;BETH MOSHE CONGREGATION;North Miami;FL;2225 NE;33181;(305)891-5508;http://www.bethmoshe.com;129;;renamed_likely;95;Temple Beth Moshe Preschool;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4862422;Independent Center;CHESTNUT CHILDRENS CENTER;Needham;MA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4865591;Independent Center;FOLLOW ME CHILD CARE CENTER;Harrisburg;PA;6003 JONESTOWN RD;17112;(717)540-0707;http://www.followmechristian.org;397;;exact_match;99;FOLLOW ME CHILD CARE CENTER;Candidate name closely matches the cleaned daycare name in the same city.
4882496;Independent Center;KIRKWOOD EARLY CHILDHOOD CTR;Saint Louis;MO;100 N;63122;(314)213-6136;https://www.kirkwoodschools.org;;;not_found;45;Kirkwood Early Child Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
4886935;Church/Synagogue;CALVARY CHILD CARE CTR;Fairless Hls;PA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4886997;YMCA/YWCA;LOWER BUCK YMCA-CARLA BARTON;Fairless Hls;PA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4887953;YMCA/YWCA;KENNETT UNIONVILLE YMCA-GARDEN;Kennett Sq;PA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4889456;Church/Synagogue;LAKE MURRAY PRESBY PRE-SCHOOL;Chapin;SC;2721 Dutch Fork Road;29036;(803)345-1152;https://lmpchurch.org/day-school;156;0 months - 5 years;renamed_likely;99;Lake Murray Presbyterian Church Day School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4890285;Independent Center;DAY CARE CENTER-ARDSLEY;Glenside;PA;2828 Spear;19038;(215)572-0862;https://daycarecentersinc.com;;;not_found;45;Ardsley Day Care Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
4902163;YMCA/YWCA;LOCK HAVEN AREA YMCA;Lock Haven;PA;165 SUSQUEHANNA AVE;17745;(570)748-4772;https://www.rvrymca.org;79;;partial_match;99;LOCK HAVEN AREA YMCA CHILDCARE SERVICE II;City matched and the provider name partially overlaps with supporting address/contact evidence.
4903454;YMCA/YWCA;CHAMBERSBURG MEMORIAL YMCA;Chambersburg;PA;570 E;17201;(717)263-8508;http://www.chbgy.org;School Age Provider;;partial_match;99;CHAMBERSBURG MEMORIAL YMCA NEW FRANKLIN ELEM;City matched and the provider name partially overlaps with supporting address/contact evidence.
4930122;;DISCOVERY ISLAND CHILD DEV CTR;Orange Beach;AL;24843 Commercial Ave;36561;(251)974-5488;http://www.discoveryislandcdc.com;;1 mo - 14 year;expanded_match;95;Discovery Island Child Development Center;Candidate matched one of the ranked expanded search-name variants.
4930316;Other Chains;CHESTERBROOK ACADEMY 653;Cary;NC;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
4936140;Other Chains;CHILD'S WORLD ACADEMY;Monroe;CT;5520 Park;06611;;https://blockslearning.com;;;not_found;45;Child's World Academy Child Care Learning Ctr;Candidate did not meet the balanced city-plus-name acceptance threshold.
4958605;Independent Center;HOOPER ACADEMY EARLY LRNG CTR;Hope Hull;AL;380 Fischer;36043;(334)288-5980;http://www.hooperacademy.org;;;not_found;45;Hooper Academy;Candidate did not meet the balanced city-plus-name acceptance threshold.
4960799;Montessori;MONTESSORI ACADEMY-PRE-SCHOOL;Scottsdale;AZ;6520 E Cactus Rd;85254;(480)998-0024;https://www.rainbowmontessoriaz.com;49;;not_found;45;RAINBOW MONTESSORI SCHOOL CACTUS;Candidate did not meet the balanced city-plus-name acceptance threshold.
4962448;;WALNUT HILLS PRE-SCHOOL;Urbandale;IA;12321;50323;(515)270-9126;https://www.waukeeschools.org;262;5 year - 12 year;partial_match;99;Beyond the Bell (Walnut Hills Elementary);City matched and the provider name partially overlaps with supporting address/contact evidence.
4966846;;TEDDY BEAR PLAYHOUSE;Brighton;MI;10068;48114;(810)225-9440;https://www.tbplayhouse.com;156;0 mo - 12 year;renamed_likely;95;Teddy Bear's Playhouse (Brighton);City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
4967785;Church/Synagogue;NATIVITY PRE-SCHOOL & KDGN;Arden;NC;2425 Hendersonville;28704;(828)687-8381;https://nativityarden.org;;;not_found;45;Nativity Preschool & Kindergarten;Candidate did not meet the balanced city-plus-name acceptance threshold.
5015763;;KID'S UNIVERSITY PRE-SCHOOL 2;Hialeah;FL;2800 W;33018;(305)558-1000;http://www.kidsuniversity2.com;25;;renamed_likely;95;Kid's Love Day Care #2;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5017151;Independent Center;CREATIVE CHILD LEARING CENTER;Fort Lauderdale;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5018636;Other Chains;THE LEARNING CENTER PS & DC;Largo;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5019343;Church/Synagogue;LEARNING VILLAGE PRE-SCHOOL;Lehigh Acres;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5027510;YMCA/YWCA;GREAT PLAINS FAMILY YMCA;Weatherford;OK;1400 N Airport Rd;73096;;;80;24 mo - 12 year;renamed_likely;99;Great Plains YMCA School Age Program;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5027699;;ONE STEP AT A TIME;Edmond;OK;1724 RENAISSANCE BLVD EDMOND, OK 73013;73013;(405)241-5588;;134;;not_found;45;STEP INTO LEARNING CHILDCARE LLC;Candidate did not meet the balanced city-plus-name acceptance threshold.
5028227;;LAUNCHING PAD;Oklahoma City;OK;6101 SW 66TH ST OKLAHOMA CITY, OK 73169;73169;(405)954-4901;;120;;exact_match;99;THE LAUNCHING PAD;Candidate name closely matches the cleaned daycare name in the same city.
5032369;YMCA/YWCA;SOUTHERN DISTRICT YMCA;Exeter;NH;40 Stickney Terrace Hampton;03842;(603)702-5607;http://www.sdymca.org;87;;partial_match;99;Southern District YMCA Hampton Center ,opens link in a new tab ➞;City matched and the provider name partially overlaps with supporting address/contact evidence.
5072022;Church/Synagogue;ATONEMENT CHILD CARE CENTER;Omaha;NE;3015 S;68124;(402)572-6917;https://www.atonementchildcare.com;;;not_found;45;Atonement Child Care;Candidate did not meet the balanced city-plus-name acceptance threshold.
5077187;YMCA/YWCA;YMCA CHLDREN PRE-SCHOOL;Wilmington;DE;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5103669;Church/Synagogue;OPEN DOOR CHILD CARE;Denver;CO;1567 Marion ST;80218;;;50;;exact_match;99;OPEN DOOR CHILDCARE CENTER;Candidate name closely matches the cleaned daycare name in the same city.
5104170;;HEBREW EDUCATIONAL ALLIANCE;Denver;CO;3600 S Ivanhoe ST;80237;(303)758-9400;http://headenver.org;108;;exact_match;99;HEBREW EDUCATIONAL ALLIANCE;Candidate name closely matches the cleaned daycare name in the same city.
5111977;Independent Center;KALEIDOSCOPE;Eastsound;WA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5112892;;CITY KIDS PRE-SCHOOL;Kirkland;WA;9051 132ND AVE NE, KIRKLAND, WA, 98033;98033;(425)250-6759;http://citymin.org;93;2 years 6 months - 6 years 0 months;exact_match;99;CITY KIDS PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
5114072;Independent Center;CADENCE ACADEMY PRE-SCHOOL;Gig Harbor;WA;3716 56th St;98335;(253)400-8300;https://www.cadence-education.com;79;6 w - 4 year 11 mo;exact_match;92;Cadence Academy Preschool;Candidate name closely matches the cleaned daycare name in the same city.
5114383;;DISCOVERY STATION CC & DC;Puyallup;WA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5116927;Independent Center;LANESBORO CHILD CARE CENTER;Lanesboro;MN;100 Kirkwood St E;55949;(888)291-9811;https://www.lanesboro.k12.mn.us;95;1 month - 12 years;exact_match;99;Lanesboro Child Care Center;Candidate name closely matches the cleaned daycare name in the same city.
5117177;;UNIV NORTHWESTERN CHLD DEV CTR;Roseville;MN;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5117866;Church/Synagogue;DAVIDS CHRN LRNG CTR;Columbia Heights;MN;4101 Washington;55421;(763)789-4030;http://dclearning.org;;;not_found;45;David's Christian Learning Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
5118406;Church/Synagogue;CHILDREN OF TOMORROW;Chanhassen;MN;1490 Lake Dr W;55317;(888)291-9811;http://www.childrenoftomorrow.com;205;1 month - 12 years;exact_match;99;Children of Tomorrow;Candidate name closely matches the cleaned daycare name in the same city.
5120423;Independent Center;YOUNG HEARTS & FUTURE STEPS;Morgantown;WV;3610 Collins;26505;(304)285-5423;https://www.youngheartsllc.com;;;not_found;45;Future Steps Child Dev Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
5122809;Church/Synagogue;ST STEPHENS CHILD DEV CTR;Huntsville;AL;8020 Whitesburg Dr;35802;08587811449;https://ststephenscc.com.au;;1 mo - 16 year;expanded_match;95;St. Stephens Child Development Center;Candidate matched one of the ranked expanded search-name variants.
5124845;Church/Synagogue;AZALEA CITY CHN SCHOOL;Semmes;AL;3550 Schillinger Rd N;36575;(251)649-5437;https://www.azaleacitychristianschool.com;;1 mo - 3 year 11 mo;renamed_likely;95;Azalea City Church of Christ;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5130686;Montessori;OAK BROOK SCHOOL;Murphy;TX;121 Heritage;75094;(469)564-4376;https://bbmacademy.com;;;not_found;45;Big Blue Marble Academy Murphy;Candidate did not meet the balanced city-plus-name acceptance threshold.
5133846;;WESLEYAN CHRISTIAN ACADEMY;Rowlett;TX;4405 MAIN ST ROWLETT TX- 75088 5160;75088;(972)412-2820;http://www.firstrowlett.org;220;0 months - 6 years;exact_match;99;Wesleyan Christian Academy;Candidate name closely matches the cleaned daycare name in the same city.
5134929;;ANNUNCIATION CHILDREN CENTER;Houston;TX;1618 Texas;77003;(713)222-2289;http://annunciationcc.org;;;not_found;45;Annunciation Catholic Church;Candidate did not meet the balanced city-plus-name acceptance threshold.
5135612;Montessori;BLUEBONNET MONTESSORI SCHOOL;Lakeway;TX;15099;78734;(512)266-6626;http://www.bluebonnetmontessori.com;;;not_found;45;Bluebonnet Montessori School of Lakeway;Candidate did not meet the balanced city-plus-name acceptance threshold.
5135739;Other Chains;STEPPING STONE SCHOOL-PARMER;Austin;TX;7700 W;78729;(512)336-5237;http://www.steppingstoneschool.com;;;not_found;45;Stepping Stone School - Parmer;Candidate did not meet the balanced city-plus-name acceptance threshold.
5145954;Montessori;COLLEYVILLE MONTESSORI SCHOOL;Colleyville;TX;4700 GLADE CREEK DR COLLEYVILLE TX- 76034 2840;76034;(817)577-8353;https://www.montessori.com;128;0 months - 6 years;exact_match;99;Colleyville Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
5149429;;ACADEMY HOUSE CHILD DEV CTR;Jersey City;NJ;895 Bergen Avenue, Jersey City, NJ, 07306;07306;(201)216-9252;;;0 - 13 years;expanded_match;88;Academy House Child Development Center;Candidate matched one of the ranked expanded search-name variants.
5152189;;BLAWENBURG VILLAGE SCHOOL;Blawenburg;NJ;432 Route 518, Blawenburg, NJ, 08504;08504;(609)466-6600;http://www.blawenburgvillageschool.com;;2 1/2 - 13 years;exact_match;99;The Blawenburg Village School;Candidate name closely matches the cleaned daycare name in the same city.
5153793;Independent Center;CHRISTIES CAROUSEL OF LEARNING;Park Ridge;IL;1300 W CRESCENT AVE, PARK RIDGE, IL, 60068;60068;(847)825-4568;http://www.christiescarousel.com;142;;exact_match;99;CHRISTIES CAROUSEL OF LEARNING INC;Candidate name closely matches the cleaned daycare name in the same city.
5182342;Church/Synagogue;GRAND VIEW CDC;Dubuque;IA;3342 John Wesley Dr;52002;(563)582-1125;https://www.grandviewdubuque.org;245;6 w - 4 year 11 mo;renamed_likely;95;Grand View CDM;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5188475;Independent Center;LIL' PEOPLES' PLACE DAY CARE;Clarkston;MI;6475 Waldon Center Dr;48346;(248)620-8600;http://www.lilpeoplesplace.com;263;6 w - 12 year;exact_match;99;Lil' Peoples' Place;Candidate name closely matches the cleaned daycare name in the same city.
5192969;Church/Synagogue;COTTONWOOD CHRISTIAN LRNG CTR;Jenison;MI;1101 Cypress;49428;(616)457-1010;https://www.cottonwoodcrc.com;;;not_found;45;Cottonwood Church;Candidate did not meet the balanced city-plus-name acceptance threshold.
5197751;;SLOAN CANYON FREE WILL BAPT PS;Castaic;CA;28355 Sloan Canyon Rd;91384;;;60;3 year - 4 year 11 mo;renamed_likely;99;Sloan Canyon Free Will Baptist Preschool;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5201261;Church/Synagogue;LIFE CHRISTIAN ACADEMY;Riverside;CA;3270 Rubidoux Blvd;92509;;;60;24 mo - 4 year 11 mo;exact_match;99;Life Christian Academy;Candidate name closely matches the cleaned daycare name in the same city.
5204445;Independent Center;JOB TRAIN'S ON SITE PRE-SCHOOL;Menlo Park;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5205097;;SERENDIPITY PRE-SCHOOL;San Mateo;CA;3172 CLEARVIEW WAY;94402;;;116;;not_found;45;SERENDIPITY SCHOOL;Candidate did not meet the balanced city-plus-name acceptance threshold.
5205671;Independent Center;SUNSHINE KIDS PRE-SCHOOL;Fremont;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5221273;Church/Synagogue;HAND PRINTS EARLY EDU CENTER;Colorado Springs;CO;4005 N;80907;(719)598-4083;http://www.hand-prints.org;;;not_found;45;Handprints Early Education Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
5253329;Independent Center;PREMIER CHILD CARE;Schererville;IN;1100 Eagle;46375;(219)865-5437;http://www.premierchildcare.org;;;not_found;45;Premier Childcare & Learning Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
5257870;Independent Center;MINNIELAND ACADEMY-CENTRAL PK;Fredericksbrg;VA;1420 Central;22401;(540)517-7332;https://learningpathsacademy.com;;;not_found;45;Learning Paths Academy Central Park;Candidate did not meet the balanced city-plus-name acceptance threshold.
5285657;;SPECTRUM STATION DAY CARE;Kansas City;MO;403 NW Barry Rd;64155;;;176;6 w - 12 year;partial_match;99;Spectrum Station Barry Road;City matched and the provider name partially overlaps with supporting address/contact evidence.
5290872;College/University Based;NDSU WELLNESS CHILD CARE CTR;Fargo;ND;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5292820;Church/Synagogue;PEACHTREE PRESBYTERIAN PRE-SCH;Atlanta;GA;3434 Roswell Rd NW;30305;;;;24 mo - 6 year;renamed_likely;95;Abrakadoodle - The Gym at Peachtree Presbyterian;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5294402;Independent Center;CHILDTIME-QUEENSBURY;Queensbury;NY;6 Willowbrook;12804;(877)220-0584;https://www.childtime.com;123;;not_found;45;CHILDTIME CHILDCARE, INC;Candidate did not meet the balanced city-plus-name acceptance threshold.
5296333;Church/Synagogue;STEPPING STONES NURSERY SCHOOL;Brooklyn;NY;245 86th Street;11209;(718)630-1000;;16;;exact_match;99;Stepping Stones Nursery School;Candidate name closely matches the cleaned daycare name in the same city.
5297272;;CHILDREN'S CONTINUOUS CARE;Macedon;NY;369 Mildahn;14502;(585)286-2142;https://www.inspirelearningandcare.com;;;not_found;45;Inspire Learning and Childcare - Penfield;Candidate did not meet the balanced city-plus-name acceptance threshold.
5298202;Church/Synagogue;COUNTRY GROVE CHILDREN'S CTR;Poughkeepsie;NY;99 Todd Hill Rd.;12603;(845)486-1080;http://countrygrovechildrenscenter.com;79;;exact_match;99;Country Grove Children's Ctr.;Candidate name closely matches the cleaned daycare name in the same city.
5298408;Independent Center;LITTLE PALS PRE-SCHOOL;Monroe;NY;121 Harriman Heights Road;10950;(845)783-3006;http://www.littlepalspreschool.com;85;;exact_match;99;Little Pals Preschool, LTD;Candidate name closely matches the cleaned daycare name in the same city.
5300518;Independent Center;IMAGINATION STATION DAY CARE;Zeeland;MI;396 Allied Court;49464;(616)772-5439;https://www.istation.org;166;2 Months - 11 Years 11 Months;exact_match;99;Imagination Station;Candidate name closely matches the cleaned daycare name in the same city.
5300659;;MORNING STAR CHILD CARE W;Dexter;MI;7394 Dexter;48130;(734)424-9193;https://www.morningstarchildcare.net;100;2 Years 9 Months - 12 Years;renamed_likely;99;Morning Star Child Care West;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
5305661;;TRINIDAD'S CHILD DEV CENTER;Milwaukee;WI;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
5307683;;ST LUKE CHILD LIFE MINISTRY DC;Waukesha;WI;300 Carroll;53186;(262)542-2545;http://www.stlukeslutheran.org;;;not_found;45;Saint Luke's Lutheran Church;Candidate did not meet the balanced city-plus-name acceptance threshold.
5307827;Church/Synagogue;ST PAUL'S CHILD CARE CENTER;Fremont;WI;107 Tustin;54940;(920)446-3633;https://www.stpaulfremontwi.org;;;not_found;45;St Paul's Child Care Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
